개방자치단체코드,관리번호,자전거보관소명,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,보관대수,설치연도,설치형태,차양막설치여부,공기주입기비치여부,공기주입기유형명,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3000000,202130000000300020,재동초등학교 후문,"서울특별시 종로구 북촌로4길 7, 서울재동초등학교 (가회동)",서울특별시 종로구 가회동 210 서울재동초등학교,37.58001,126.9851,5,2016,거치형,N,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:51,2026-06-11 19:37:36
3000000,202030000000300055,올림픽국민생활기념관,"서울특별시 종로구 성균관로 91, 국민생활관 (혜화동)",서울특별시 종로구 혜화동 1-21 국민생활관,37.58984,126.9988,10,2016,휀스형,N,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:50,2026-06-11 17:41:56
3000000,202030000000300061,SH무악현대아파트,"서울특별시 종로구 통일로 246-11 (무악동, 무악현대아파트)",서울특별시 종로구 무악동 83 무악현대아파트,37.57541,126.9589,56,2008,기타,Y,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:50,2026-06-11 17:35:17
3000000,202030000000300063,아남아파트(1단지),"서울특별시 종로구 창경궁로 265 (명륜2가, 아남아파트)",서울특별시 종로구 명륜2가 4 아남아파트,37.58556,126.9991,40,2008,,Y,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:50,2026-06-11 17:34:50
3000000,202130000000300026,동묘앞역 4번출구,"서울특별시 종로구 종로 344 (숭인동, 종로대우디오빌)",서울특별시 종로구 숭인동 310 종로대우디오빌,37.57301,127.016,10,2017,단독형,N,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:51,2026-06-11 19:36:29
3000000,202130000000300007,독립문역 3번출구,"서울특별시 종로구 통일로 230 (무악동, 경희궁 롯데캐슬)",서울특별시 종로구 무악동 89 경희궁 롯데캐슬,37.57358,126.9589,12,2019,기타,N,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:51,2026-06-11 17:45:21
3000000,202130000000300075,경복고등학교 정문 옆,"서울특별시 종로구 자하문로28가길 9, 경복고등학교 (청운동)",서울특별시 종로구 청운동 89-9 경복고등학교,37.58706,126.9715,7,2008,휀스형,N,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:51,2026-06-11 19:43:48
3000000,202130000000300061,세검정초교 후문 육교 하부,"서울특별시 종로구 세검정로9길 1, 서울세검정초등학교 (신영동)",서울특별시 종로구 신영동 219-4 서울세검정초등학교,37.6034,126.9609,10,2015,휀스형,N,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:51,2026-06-11 19:44:51
3000000,202130000000300008,남도식당 앞,"서울특별시 종로구 종로 374-1, 오락실 (숭인동)",서울특별시 종로구 숭인동 228-4 오락실,37.57389,127.019,8,2018,,N,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:51,2026-06-11 17:42:13
3000000,202130000000300041,혜화역 4번 출구,서울특별시 종로구 대학로 145-1 (혜화동),서울특별시 종로구 혜화동 148-2,37.58421,127.0014,7,2009,휀스형,N,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:51,2026-06-11 19:41:47
3000000,202030000000300005,동십자각지하보도 입구,서울특별시 종로구 종로1길 57 (중학동),서울특별시 종로구 중학동 110-2,37.57548,126.9789,5,2012,단독형,N,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:50,2026-06-11 17:32:27
3000000,202130000000300047,청계천로 청계2가교차로,"서울특별시 종로구 청계천로 93, 파고다타워 (관철동)",서울특별시 종로구 관철동 5-13 파고다타워,37.56851,126.9877,4,2016,단독형,N,Y,수동식,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:51,2026-06-11 19:40:53
3000000,202130000000300013,카톨릭대학교,"서울특별시 종로구 창경궁로 296-12, 카톨릭대학교 (혜화동)",서울특별시 종로구 혜화동 90-1 카톨릭대학교,37.58572,127.0046,20,2016,휀스형,N,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:51,2026-06-11 17:48:01
3000000,202130000000300019,신영삼거리육교 아래,서울특별시 종로구 평창문화로 5-1 (신영동),서울특별시 종로구 신영동 29-6,37.60393,126.9625,5,2016,거치형,N,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:51,2026-06-11 19:37:46
3000000,202130000000300005,동대문역 3번출구,"서울특별시 종로구 종로 311, (주)우리은행 창신동지점 (창신동)",서울특별시 종로구 창신동 530-1 (주)우리은행 창신동지점,37.5721,127.0123,10,2019,단독형,N,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:50,2026-06-11 17:45:44
3000000,202130000000300016,무악현대아파트,"서울특별시 종로구 통일로 246-10, 무악현대아파트 (무악동)",서울특별시 종로구 무악동 82 무악현대아파트,37.5752,126.9606,26,2009,기타,Y,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:51,2026-06-11 17:47:24
3000000,202130000000300035,동대문지하쇼핑센터 1번출구,"서울특별시 종로구 청계천로 295, 동대문신발상가 (창신동)",서울특별시 종로구 창신동 436-79 동대문신발상가,37.56992,127.0102,10,2018,단독형,N,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:51,2026-06-11 19:38:49
3000000,202130000000300042,혜화역 4번 출구,서울특별시 종로구 대학로 141 (혜화동),서울특별시 종로구 혜화동 166-4,37.58389,127.0014,7,2015,단독형,N,Y,수동식,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:51,2026-06-11 19:41:38
3000000,202130000000300006,동대문역 8번출구,서울특별시 종로구 청계천로 279 (종로6가),서울특별시 종로구 종로6가 289-3,37.57014,127.0093,10,2019,단독형,N,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:50,2026-06-11 17:45:33
3000000,202130000000300051,종각역 2번 출구,"서울특별시 종로구 종로 47, 한국스탠다드차타드은행 빌딩 (공평동)",서울특별시 종로구 공평동 100 한국스탠다드차타드은행 빌딩,37.57041,126.9827,10,2016,단독형,N,Y,수동식,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:51,2026-06-11 19:43:15
3000000,202030000000300068,연지공원,"서울특별시 종로구 율곡로 194, 현대그룹빌딩 동관 (연지동)",서울특별시 종로구 연지동 1-7 현대그룹빌딩 동관,37.57596,127.0008,3,2017,단독형,N,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:50,2026-06-11 17:46:19
3000000,202030000000300057,신영삼거리육교 아래,서울특별시 종로구 평창문화로 5-1 (신영동),서울특별시 종로구 신영동 29-6,37.60393,126.9625,5,2016,거치형,N,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:51,2026-06-11 17:41:25
3000000,202130000000300073,사직동 벽산 광화문시대 앞,"서울특별시 종로구 사직로8길 42 (내수동, 광화문시대)",서울특별시 종로구 내수동 74 광화문시대,37.57382,126.9731,13,2016,단독형,N,Y,수동식,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:51,2026-06-11 19:44:04
3000000,202130000000300011,국립민속박물관,"서울특별시 종로구 삼청로 37, 국립민속박물관 (세종로)",서울특별시 종로구 세종로 1-1 국립민속박물관,37.57952,126.9787,4,2018,단독형,N,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:51,2026-06-11 19:35:32
3000000,202030000000300066,서울직업전문학교,"서울특별시 종로구 종로 375, 승문빌딩 (숭인동)",서울특별시 종로구 숭인동 165 승문빌딩,37.57414,127.0191,13,2017,단독형,N,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:50,2026-06-11 17:46:42
3000000,202130000000300045,동숭동 백동어린이공원,서울특별시 종로구 동숭4나길 13 (동숭동),서울특별시 종로구 동숭동 7-15,37.58311,127.0048,21,2014,휀스형,N,Y,수동식,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:51,2026-06-11 19:41:10
3000000,202130000000300022,청계천로 영도교 북측,"서울특별시 종로구 청계천로 369, 삼일아파트 (창신동)",서울특별시 종로구 창신동 400-4 삼일아파트,37.57038,127.0172,6,2018,단독형,N,N,,N,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:51,2026-06-11 19:37:16
3000000,202130000000300055,종로구청,"서울특별시 종로구 삼봉로 43, 종로구청 (수송동)",서울특별시 종로구 수송동 146-2 종로구청,37.57313,126.9794,7,2013,단독형,N,Y,수동식,Y,02-2148-3272,종로구 교통행정과,2026-05-18,U,2026-06-12 22:57:51,2026-06-11 19:42:39
